2023-11-07 17:44:41.313 | DEBUG    | __main__:scrape_linkedin:185 - Retrieved Hewlett Packard Enterprise : Network Simulation Engineer Intern
2023-11-07 17:44:41.639 | DEBUG    | __main__:scrape_linkedin:185 - 
2023-11-07 17:44:41.765 | DEBUG    | __main__:scrape_linkedin:185 - 
2023-11-07 17:44:41.938 | DEBUG    | __main__:scrape_linkedin:185 - 
2023-11-07 17:44:42.070 | DEBUG    | __main__:scrape_linkedin:185 - 
2023-11-07 17:44:42.213 | DEBUG    | __main__:scrape_linkedin:185 - 
2023-11-07 17:44:42.332 | DEBUG    | __main__:scrape_linkedin:185 - 
2023-11-07 17:44:42.634 | DEBUG    | __main__:scrape_linkedin:185 - Retrieved Joby Aviation : Electrical Engineer - Intern
2023-11-07 17:44:42.798 | DEBUG    | __main__:scrape_linkedin:185 - 
2023-11-07 17:44:42.966 | DEBUG    | __main__:scrape_linkedin:185 - 
2023-11-07 17:44:43.106 | DEBUG    | __main__:scrape_linkedin:185 - 
2023-11-07 17:44:43.246 | DEBUG    | __main__:scrape_linkedin:185 - 
2023-11-07 17:44:43.369 | DEBUG    | __main__:scrape_linkedin:185 - 
2023-11-07 17:44:43.624 | DEBUG    | __main__:scrape_linkedin:185 - 
2023-11-07 17:44:43.776 | DEBUG    | __main__:scrape_linkedin:185 - 
2023-11-07 17:44:43.911 | DEBUG    | __main__:scrape_linkedin:185 - 
2023-11-07 17:44:44.153 | DEBUG    | __main__:scrape_linkedin:185 - 
2023-11-07 17:44:44.312 | DEBUG    | __main__:scrape_linkedin:185 - 
2023-11-07 17:44:44.432 | DEBUG    | __main__:scrape_linkedin:185 - 
2023-11-07 17:44:44.776 | DEBUG    | __main__:scrape_linkedin:185 - 
2023-11-07 17:44:44.923 | DEBUG    | __main__:scrape_linkedin:185 - 
2023-11-07 17:44:45.133 | DEBUG    | __main__:scrape_linkedin:185 - 
2023-11-07 17:44:45.245 | DEBUG    | __main__:scrape_linkedin:185 - 
2023-11-07 17:44:45.492 | DEBUG    | __main__:scrape_linkedin:185 - 
2023-11-07 17:44:45.801 | DEBUG    | __main__:scrape_linkedin:185 - 
2023-11-07 17:44:45.948 | DEBUG    | __main__:scrape_linkedin:185 - 
2023-11-07 17:44:46.117 | DEBUG    | __main__:scrape_linkedin:185 - 
2023-11-07 17:44:46.278 | DEBUG    | __main__:scrape_linkedin:185 - 
2023-11-07 17:44:46.455 | DEBUG    | __main__:scrape_linkedin:185 - 
2023-11-07 17:44:46.586 | DEBUG    | __main__:scrape_linkedin:185 - 
2023-11-07 17:44:46.928 | DEBUG    | __main__:scrape_linkedin:185 - 
2023-11-07 17:44:47.061 | DEBUG    | __main__:scrape_linkedin:185 - 
2023-11-07 17:44:47.309 | DEBUG    | __main__:scrape_linkedin:185 - 
2023-11-07 17:44:47.420 | DEBUG    | __main__:scrape_linkedin:185 - 
2023-11-07 17:44:47.547 | DEBUG    | __main__:scrape_linkedin:185 - 
2023-11-07 17:44:47.891 | DEBUG    | __main__:scrape_linkedin:185 - 
2023-11-07 17:44:48.029 | DEBUG    | __main__:scrape_linkedin:185 - 
2023-11-07 17:44:48.030 | DEBUG    | __main__:task:259 - Inserting Sev1Tech LLC:Jr. Network Engineer Intern to job_listings table
2023-11-07 17:44:48.033 | DEBUG    | __main__:insert_job_listing:78 - Inserted Sev1Tech LLC:Jr. Network Engineer Intern to job_listings table
2023-11-07 17:44:48.033 | DEBUG    | __main__:task:259 - Inserting Greyson Technologies Inc.:Network Engineer (Intern) to job_listings table
2023-11-07 17:44:48.036 | DEBUG    | __main__:insert_job_listing:78 - Inserted Greyson Technologies Inc.:Network Engineer (Intern) to job_listings table
2023-11-07 17:44:48.036 | DEBUG    | __main__:task:259 - Inserting Nemours:Associate Network Analyst to job_listings table
2023-11-07 17:44:48.040 | DEBUG    | __main__:insert_job_listing:78 - Inserted Nemours:Associate Network Analyst to job_listings table
2023-11-07 17:44:48.040 | DEBUG    | __main__:task:259 - Inserting NTT Ltd.:MS Engineer L1 (Security) to job_listings table
2023-11-07 17:44:48.043 | DEBUG    | __main__:insert_job_listing:78 - Inserted NTT Ltd.:MS Engineer L1 (Security) to job_listings table
2023-11-07 17:44:48.043 | DEBUG    | __main__:task:259 - Inserting UHS:Software Engineer Intern (SQL Server)* to job_listings table
2023-11-07 17:44:48.049 | DEBUG    | __main__:insert_job_listing:78 - Inserted UHS:Software Engineer Intern (SQL Server)* to job_listings table
2023-11-07 17:44:48.049 | DEBUG    | __main__:task:259 - Inserting WayUp:Americold Logistics, Infrastructure Systems Engineer Intern - Application via WayUp to job_listings table
2023-11-07 17:44:48.053 | DEBUG    | __main__:insert_job_listing:78 - Inserted WayUp:Americold Logistics, Infrastructure Systems Engineer Intern - Application via WayUp to job_listings table
